Storm Name,Storm Level,Casualties,Location
Penelope,2,192,Fremont
Priscilla,1,251,Indianapolis
Leroy,4,224,Baltimore
Samara,3,83,Chicago
Anthony,4,62,Atlanta
John,2,267,Las Vegas
Cecilia,1,142,Ontario
Sebastian,2,222,Irving
Taylor,4,117,Chicago
Lily,2,18,Murfreesboro
Kurt,2,193,Paris
Parker,1,43,Tallahassee
Michael,1,259,Milwaukee
Hank,3,201,Pittsburgh
Aiden,4,182,Jacksonville
Hank,2,218,New Orleans
Chuck,2,111,Irving
Fred,2,86,Laredo
Elijah,1,138,Madrid
Alan,4,107,Indianapolis
Maia,3,111,Lakewood
Rocco,4,261,Irving
Juliet,2,181,Otawa
Ethan,4,59,Springfield
Emerald,1,148,Philadelphia
Denny,3,66,Columbus
Jayden,1,89,Jacksonville
Denny,4,148,Philadelphia
Celia,3,186,Orlando
Leslie,3,230,Ontario
Ivette,3,278,Bakersfield
Matt,1,151,Indianapolis
Johnny,3,80,London
Enoch,1,251,Zurich
Shay,2,100,Bridgeport
Barry,3,8,Honolulu
Alex,3,41,Lancaster
Rosie,1,60,Houston
Alexa,2,18,Louisville
Penny,2,72,Milwaukee
Maria,3,125,Fort Lauderdale
Sage,2,83,Phoenix
Lorraine,1,182,Lakewood
Logan,2,196,Rome
Martin,4,23,Lyon
Julius,1,276,Rochester
Jolene,2,297,Oakland
Carl,2,1,Baltimore
Barry,4,158,Las Vegas
Kendra,4,56,Santa Ana
Karen,3,214,Rochester
Moira,3,120,Valetta
Josh,2,25,Saint Paul
Sabrina,1,271,Rochester
Brad,2,256,Baltimore
Shelby,2,32,Toledo
Erick,1,39,Washington
Emery,3,240,Denver
Rufus,4,180,Phoenix
Abdul,4,280,Salt Lake City
Colleen,4,299,Escondido
Peter,4,274,San Diego
Stephanie,3,94,Santa Ana
Rocco,2,229,Springfield
Mina,2,226,Omaha
Karla,4,54,Fullerton
Ramon,2,299,Rochester
Belinda,1,252,Reno
Bob,3,73,San Francisco
Kieth,3,242,Zurich
Victoria,1,153,San Diego
Mayleen,1,130,Garland
Catherine,3,286,Pittsburgh
Tyson,3,38,Rochester
Abdul,2,15,Cincinnati
Martin,1,120,Reno
Joseph,1,249,Amarillo
Stella,4,133,Irving
Cameron,3,165,Miami
Iris,4,166,Tulsa
Chris,2,184,Detroit
Ellen,4,237,New Orleans
Owen,4,216,Escondido
Benjamin,4,4,Tallahassee
Harry,1,137,St. Louis
Bridget,4,178,Irving
Manuel,3,255,Garland
Jayden,2,295,Pittsburgh
Rosalee,1,273,Santa Ana
Mike,4,79,Fullerton
Shay,4,83,Oakland
Lillian,1,93,Venice
Tyler,2,38,Berna
Elena,4,128,Houston
Wade,4,96,Glendale
Michael,1,201,Lincoln
Megan,3,191,Innsbruck
Henry,1,44,Orlando
Alessandra,1,9,Scottsdale
Benjamin,4,139,Moreno Valley
Harvey,2,150,Los Angeles
Domenic,2,132,San Bernardino
Leroy,2,77,Glendale
Domenic,3,268,New Orleans
Bethany,4,290,Bridgeport
Lucy,3,221,Miami
Martin,3,274,Venice
Abdul,1,272,Lisbon
Benjamin,4,88,Laredo
Jade,4,60,Reno
Jackeline,1,276,Baltimore
Wendy,3,255,Colorado Springs
Phillip,3,296,Fremont
Eden,2,93,Rome
Alan,4,260,Milwaukee
Carl,3,237,Baltimore
Mark,3,7,Orlando
Teagan,4,34,Moreno Valley
Zara,2,37,Amarillo
Lindsay,4,199,Murfreesboro
Rufus,3,202,Columbus
Gina,1,267,Madison
Nick,3,15,Moreno Valley
Percy,3,157,Garland
Kurt,2,167,Boston
Brooklyn,3,278,Paris
Bryon,4,81,Oklahoma City
Abdul,4,125,Oakland
Alice,4,192,Pittsburgh
Kaylee,2,111,Richmond
Alan,2,112,Madison
Celina,4,139,Moreno Valley
Chadwick,1,214,Fayetteville
Cameron,2,163,Salem
Sebastian,2,244,Lyon
Lindsay,3,262,Zurich
Ivy,2,232,Indianapolis
Moira,2,238,Lyon
Morgan,2,200,El Paso
Peyton,1,172,Venice
Maddison,3,42,Fort Lauderdale
Doug,2,107,El Paso
Joy,1,33,Indianapolis
Zoe,2,83,Honolulu
Cecilia,3,159,Honolulu
Alexander,3,279,Bakersfield
Joseph,1,278,Bakersfield
Doug,1,193,Huntsville
Oliver,1,273,Indianapolis
Hanna,2,69,Los Angeles
Mike,4,204,Arlington
Leanne,1,72,Berlin
Jacob,3,77,Murfreesboro
Tyson,1,3,Boston
Alexander,4,103,Pittsburgh
Aleksandra,3,28,Ontario
Adeline,2,60,Boston
Hayden,2,197,Fullerton
Bryce,4,219,Arlington
Miley,4,117,Lancaster
Michael,2,4,Tulsa
Chuck,3,299,Kansas City
Hanna,1,47,San Jose
Ronald,2,12,Amarillo
Janelle,3,14,Indianapolis
Vicky,1,24,Detroit
Cecilia,2,145,Otawa
Brad,2,196,Laredo
Johnny,2,138,San Antonio
Mayleen,4,99,Denver
Beatrice,4,135,Sacramento
Andie,1,174,Denver
Irene,2,45,Kansas City
Chadwick,3,139,Indianapolis
Caitlyn,3,262,Long Beach
Harry,1,72,San Francisco
Penelope,3,280,Lyon
Parker,4,249,Nashville
William,4,152,Lyon
Hayden,2,77,Houston
Percy,2,268,Escondido
Barney,4,35,Lisbon
Kieth,4,65,Miami
Chester,3,40,Las Vegas
Nick,4,44,Oklahoma City
Josh,1,257,Fremont
Aisha,4,143,Sacramento
Mike,4,195,Glendale
Johnny,4,241,Rome
Robyn,3,15,Las Vegas
Nate,1,86,Quebec
Callie,1,115,Orlando
Brooklyn,1,146,Arlington
Crystal,3,168,Lakewood
Nicholas,4,89,Portland
Kamila,4,186,Worcester
Aisha,1,268,Ontario
Hadley,3,142,Louisville
Blake,2,56,New Orleans
Sonya,2,162,Fayetteville
Meredith,4,52,Otawa
Audrey,4,139,Worcester
Nathan,3,241,Phoenix
Skylar,1,123,San Bernardino
Johnathan,1,43,Dallas
Denis,3,229,Lancaster
Lucas,2,165,Detroit
Bryon,4,58,Detroit
Tara,1,271,Philadelphia
Deborah,3,152,Omaha
Sabrina,4,206,San Antonio
Martha,4,161,Milwaukee
Kurt,1,256,Seattle
Doug,1,287,Indianapolis
Hannah,1,169,Berlin
Carla,1,83,Santa Ana
Camden,1,60,Boston
Kassandra,3,223,Hayward
Chris,2,48,Orlando
Mark,1,160,Cincinnati
Robyn,3,21,Huntsville
Ember,2,231,New York
Paige,3,225,Springfield
Danielle,4,193,Kansas City
Peyton,2,43,Otawa
Chris,4,32,Jacksonville
Peter,3,166,Honolulu
Aiden,1,82,Otawa
Barry,4,252,Berna
Candice,3,222,Arlington
Jack,3,100,Salt Lake City
Kurt,3,113,Colorado Springs
Hank,1,299,St. Louis
Stephanie,1,257,San Bernardino
Joy,3,283,Lincoln
Brad,2,210,Washington
Denis,1,252,Memphis
Nicole,2,134,Salem
Nicole,3,149,Phoenix
Matt,4,160,Tulsa
Piper,4,265,Omaha
Alexander,3,84,Oakland
Sylvia,4,16,Tulsa
Roger,2,223,Fort Lauderdale
Joy,3,188,Ontario
Drew,1,80,Bakersfield
Daron,4,45,Cincinnati
Tyler,1,82,Jersey City
Callie,4,222,Glendale
Roger,3,285,Milano
Phillip,1,120,Saint Paul
Callie,1,241,San Antonio
Matthew,2,56,Washington
Melinda,3,99,Albuquerque
Hayden,1,148,San Antonio
Michael,4,237,Phoenix
Lucy,1,232,Boston
Gloria,2,167,Bridgeport
Irene,2,140,Tokyo
Matt,4,126,Prague
Domenic,2,218,Seattle
Carrie,3,178,Hollywood
Amelia,2,38,Fort Lauderdale
Teagan,3,292,Scottsdale
Matt,1,204,Jersey City
Russel,3,134,Albuquerque
Joseph,2,13,Jacksonville
Kurt,2,120,Kansas City
Chadwick,4,171,Salt Lake City
Jacqueline,2,99,Las Vegas
Allison,4,251,Prague
Daria,3,144,Richmond
Tom,2,112,San Jose
Carl,2,107,San Bernardino
Maxwell,1,232,Louisville
Carl,3,171,Baltimore
Ethan,2,143,Jersey City
Iris,3,91,Lakewood
Tony,4,75,Dallas
Gloria,3,52,Washington
Barry,4,142,Pittsburgh
Carmen,1,125,Bakersfield
Julius,1,205,Orlando
Marla,4,38,Tallahassee
Benny,1,146,Portland
Brad,4,42,Kansas City
Chloe,2,73,Madison
Elisabeth,4,238,Madison
Emmanuelle,1,61,Bakersfield
Tyler,1,237,Jersey City
Stacy,2,269,Chicago
Hadley,2,194,New Orleans
Tyson,4,64,Tulsa
Mark,4,63,Hollywood
Manuel,1,198,Chicago
Hazel,4,116,Chicago
Zoe,1,268,Bridgeport
Lexi,2,229,Cincinnati
Norah,1,78,Fullerton
Kieth,4,196,Venice
Sharon,1,241,Bakersfield
Mark,3,125,Rome
Nathan,1,50,Indianapolis
Anais,1,171,Garland
Kurt,1,147,Oakland
Adelaide,3,209,Stockton
Martha,1,130,Springfield
Kieth,2,238,Venice
Caleb,1,71,San Jose
Emerald,4,247,Chicago
Kieth,2,109,Tokyo
Elena,3,28,Jacksonville
George,1,91,Worcester
Alan,3,223,San Diego
Gabriel,1,187,Washington
Julian,4,29,Hayward
Danny,4,65,Fayetteville
Leah,4,117,Laredo
Nick,1,7,Amarillo
Michelle,4,198,Omaha
Rylee,1,80,Bucharest
Bryce,3,12,Sacramento
Dani,2,83,Kansas City
Martin,4,70,Anaheim
Leanne,1,172,Hayward
Rocco,1,206,New York
Anthony,1,158,Bellevue
Julianna,3,65,Lincoln
Luke,3,220,Dallas
Payton,4,247,Fremont
Danny,3,12,Honolulu
Iris,3,136,Norfolk
Cameron,1,41,Jacksonville
Tony,4,35,Santa Ana
Ramon,3,54,Miami
Johnathan,2,280,London
Cedrick,2,17,Henderson
Luke,1,191,Venice
Bryce,1,72,San Bernardino
Jacob,3,289,Wien
Aeris,4,10,Santa Ana
Kendra,2,177,Fremont
Alice,3,21,Norfolk
Sebastian,4,3,Saint Paul
Matt,2,50,Nashville
Kurt,2,98,El Paso
Roger,3,263,Toledo
Bernadette,2,80,Long Beach
Gil,3,3,Indianapolis
Tyler,1,79,Tulsa
Domenic,3,112,Honolulu
Alexander,3,216,Cincinnati
Courtney,1,212,Prague
Eduardo,4,295,Ontario
Celia,3,205,Rome
Peter,2,220,Garland
Angel,1,234,San Diego
Aiden,1,295,San Antonio
Chad,3,162,Long Beach
William,4,79,Quebec
Maxwell,1,55,Long Beach
Georgia,4,254,Santa Ana
Benny,4,129,Reno
Danny,1,45,Memphis
Drew,4,53,Lyon
Janice,1,105,Jersey City
Phillip,4,219,Boston
Adeline,4,134,Denver
Ryan,2,59,Quebec
Luna,1,248,Lyon
Hailey,3,2,Fayetteville
Johnny,4,50,San Diego
Clint,3,180,Reno
Keira,1,66,New York
Norah,4,1,Miami
Michelle,3,53,Murfreesboro
Charlize,2,102,Irving
Ellen,4,198,Charlotte
Naomi,3,267,Tokyo
Matt,3,143,Detroit
Chadwick,4,278,Innsbruck
Kieth,3,165,Reno
Phillip,4,193,Long Beach
Ethan,1,280,Berna
Christy,3,90,Valetta
Roger,4,288,Laredo
Harvey,1,99,Columbus
Hank,2,31,New York
Dani,2,284,Fort Lauderdale
Harvey,1,169,Ontario
Drew,4,11,Irving
Marigold,3,156,Lincoln
Charlotte,3,113,Seattle
Julianna,2,13,Orlando
Joseph,1,9,Bellevue
Marvin,3,49,Omaha
Matt,2,265,Wien
Tyler,1,197,Memphis
Caleb,4,15,Salem
Harry,1,173,Bellevue
Jacob,1,29,Escondido
Angel,3,262,San Antonio
Darlene,2,287,Pittsburgh
Joseph,4,95,Portland
Daron,4,235,Orlando
Violet,1,241,Norfolk
Roger,4,1,Paris
Priscilla,1,178,Oakland
Johnny,2,256,Fayetteville
Angelique,4,109,Omaha
Enoch,3,225,Innsbruck
Harry,1,190,Milwaukee
Rick,4,268,New Orleans
Daron,2,234,Otawa
Clint,1,183,Fullerton
Agnes,4,214,Moreno Valley
Jolene,3,72,San Diego
Sarah,1,229,Bakersfield
Jules,3,169,Albuquerque
Taylor,2,95,Las Vegas
George,1,201,El Paso
Angelica,1,238,Bridgeport
Marla,3,265,Hayward
Bethany,3,102,Tokyo
Alba,3,205,Garland
Daniel,3,116,Otawa
Martin,3,223,Zurich
Courtney,1,108,Dallas
Wade,2,35,Tokyo
Crystal,3,224,Irving
Julian,1,81,Albuquerque
Judith,2,112,Huntsville
Hannah,3,28,Orlando
Tyler,4,160,Bellevue
Hannah,2,210,Bakersfield
Martin,3,194,Omaha
Maxwell,4,216,San Francisco
Naomi,2,158,Lyon
Janice,3,128,Dallas
Jamie,2,197,Lancaster
Lillian,1,177,Honolulu
Francesca,2,50,Pittsburgh
Megan,4,243,Paris
Chuck,1,221,Bucharest
Anne,2,155,Minneapolis
Alan,4,18,Tokyo
Jayden,4,9,El Paso
Janelle,2,249,Honolulu
Elisabeth,1,251,Washington
Melinda,4,73,Glendale
Peter,3,198,Colorado Springs
Chester,3,74,Springfield
Caleb,2,37,Bridgeport
Darlene,4,278,San Bernardino
Selena,1,252,Venice
Michael,2,60,Houston
Molly,3,68,Fullerton
Angel,2,75,Charlotte
Callie,1,121,Irving
Doug,1,56,New York
Danny,4,118,Milwaukee
Josephine,4,213,Rochester
Jules,2,145,Miami
Bree,1,51,Ontario
Colleen,3,2,Phoenix
Keira,4,51,Louisville
Rufus,1,88,Chicago
Claire,1,58,Murfreesboro
Daniel,3,16,Oklahoma City
Josh,3,285,Glendale
Marina,4,34,Bellevue
Javier,4,215,Worcester
Rufus,3,88,Worcester
Rufus,1,0,Paris
Mary,4,196,Santa Ana
Chad,2,149,Salem
Priscilla,4,101,Jacksonville
Martin,1,38,Boston
Ryan,3,185,Bridgeport
Mara,2,143,Columbus
Winnie,3,231,Chicago
Tyler,1,97,Minneapolis
Ron,2,145,Quebec
Julius,2,157,Philadelphia
Lara,1,237,Fayetteville
Margot,1,1,Lyon
Javier,1,269,Garland
Molly,1,255,Prague
Makena,4,235,Madrid
Ethan,1,183,Houston
Moira,3,183,Washington
Carol,4,209,Reno
Erick,1,93,Glendale
Carol,3,57,Denver
Miriam,2,233,Boston
Naomi,2,122,Dallas
Deborah,3,72,Charlotte
Tyson,2,171,Prague
Harry,2,42,Hayward
Rihanna,2,285,Los Angeles
Carmella,4,140,Tallahassee
Esmeralda,4,121,Madison
Faith,2,16,Salt Lake City
Natalie,4,118,Madrid
Parker,4,134,Fullerton
Rosemary,2,287,San Francisco
Aeris,2,203,Honolulu
Hadley,1,291,Berna
Victoria,4,30,Colorado Springs
Barry,2,8,Venice
Megan,1,169,Milano
Sofia,2,152,London
Domenic,1,14,Hayward
Kendra,3,49,Paris
Payton,4,285,Saint Paul
Mark,4,199,Kansas City
Doug,1,2,Pittsburgh
Agnes,3,54,Louisville
Mike,3,177,Innsbruck
Marissa,4,85,Huntsville
Camila,1,255,Tallahassee
Lexi,1,290,Oakland
Irene,3,91,Otawa
Javier,1,108,Valetta
Nina,3,224,Norfolk
Chadwick,2,213,Kansas City
Freya,3,219,Omaha
Rocco,2,219,Milwaukee
Kirsten,4,141,Innsbruck
Bart,2,269,Bucharest
Hazel,3,263,Bakersfield
Maggie,2,262,Madrid
Alexander,2,230,San Francisco
Denny,1,223,Oklahoma City
Remy,2,98,Innsbruck
Rick,1,152,Phoenix
Matt,3,213,Las Vegas
Mike,3,188,St. Louis
Ivette,3,103,Moreno Valley
Alice,1,34,Louisville
Gabriel,3,116,Scottsdale
Kenzie,1,193,Richmond
Daniel,4,60,Tulsa
Bryon,3,241,Indianapolis
Isla,2,131,Garland
John,4,173,New York
Rose,4,27,Cincinnati
Lillian,1,38,Oklahoma City
Bob,1,143,Sacramento
George,2,239,Chicago
Boris,1,203,London
Catherine,1,27,Saint Paul
Alexa,3,223,Sacramento
Chuck,4,142,Los Angeles
Dorothy,3,88,Irving
Mason,4,232,Bucharest
Grace,1,29,Honolulu
Chelsea,2,214,Orlando
Sebastian,1,159,Long Beach
Hayden,2,246,Fremont
Lily,4,19,Anaheim
Kenzie,4,3,Lakewood
Mandy,2,30,Bellevue
Roger,3,255,New York
Hanna,1,2,Omaha
Alexia,1,289,Stockton
Jasmine,1,42,Sacramento
Leah,1,141,Salt Lake City
Clint,1,252,Lakewood
Manuel,4,110,Henderson
Sloane,2,276,Lisbon
Julius,4,149,Lyon
Barney,4,268,Salem
Phillip,1,133,Milano
Payton,1,224,Garland
Julianna,1,40,Fort Lauderdale
Harmony,3,251,Sacramento
Doug,1,35,Milwaukee
Johnny,3,137,Milano
Logan,2,182,Irving
Cameron,2,262,Fayetteville
Maxwell,3,188,Huntsville
Russel,3,107,Memphis
Lucas,1,70,Honolulu
Rowan,1,124,Atlanta
Victoria,3,75,Colorado Springs
David,3,139,Seattle
Courtney,4,230,Albuquerque
Jayden,3,55,Philadelphia
Anabelle,1,59,Denver
Jamie,1,215,Indianapolis
Peter,1,111,Long Beach
Renee,2,252,Springfield
Rocco,1,297,Salt Lake City
Trisha,2,4,Prague
Anthony,4,164,Las Vegas
Megan,2,31,Pittsburgh
Aleksandra,4,10,Toledo
Hanna,2,129,Salem
Hayden,3,226,Baltimore
Tyson,1,27,Worcester
Chester,1,291,Chicago
Caleb,3,120,Jersey City
Kendra,2,47,Valetta
Emma,1,272,Springfield
Javier,4,236,Bellevue
Leroy,1,224,Arlington
Gabriel,2,159,Paris
Josh,4,166,Moreno Valley
Celina,1,56,Chicago
Michael,3,104,Cincinnati
Alan,2,198,Reno
Jessica,2,242,San Jose
Bryon,4,41,Worcester
Amy,4,292,Tulsa
Thea,3,45,Tallahassee
Carl,3,93,Otawa
Mya,4,8,Chicago
Hanna,3,245,Detroit
Benny,1,47,Pittsburgh
Tyson,4,184,Prague
Lily,3,240,Rome
Liliana,1,116,Tokyo
Jazmin,1,32,San Bernardino
Chris,3,198,Denver
Roger,4,39,Venice
Hayden,2,139,Miami
Wade,1,169,Quebec
Gwenyth,1,150,Pittsburgh
Michael,2,232,Fremont
Eden,1,90,Minneapolis
Cynthia,1,141,Cincinnati
Kurt,2,256,Honolulu
Elena,3,280,Baltimore
Russel,2,29,Ontario
Chad,1,293,Washington
Bryce,1,151,Honolulu
Denis,1,37,Stockton
Kieth,3,253,Valetta
Boris,1,181,Moreno Valley
Marigold,2,294,Dallas
Sage,4,65,Bellevue
Chad,2,43,Jersey City
Blake,4,288,Portland
Chuck,3,244,Salem
Clarissa,3,208,Bakersfield
Leroy,3,68,Bridgeport
Havana,1,258,Garland
Brooklyn,4,289,Salem
Boris,2,178,Scottsdale
Norah,1,232,Irving
Jayden,3,224,Bridgeport
Bob,1,35,Reno
Sienna,1,150,Fremont
Christine,1,199,Honolulu
Lynn,3,174,Salt Lake City
Sarah,4,32,Cincinnati
Zoe,4,169,Amarillo
Bree,2,63,Rome
Danny,4,74,Columbus
Danny,4,288,Kansas City
Matthew,3,265,Oklahoma City
Ron,4,190,San Jose
Jacqueline,1,118,Ontario
Anthony,2,168,St. Louis
Helen,4,41,Chicago
Celina,2,293,Baltimore
Jacob,1,273,Prague
Nick,4,17,Memphis
Celia,4,244,Stockton
Naomi,2,49,Quebec
Maia,2,198,Pittsburgh
Cedrick,2,119,Lincoln
Carmen,4,250,Detroit
Aiden,1,195,Kansas City
Elle,2,92,Bridgeport
Aeris,1,7,Lancaster
Joseph,1,293,Berna
Anthony,2,67,Otawa
Bart,3,0,Houston
Brooklyn,4,289,Fayetteville
Lara,4,289,Lakewood
Susan,1,4,Toledo
Marigold,2,235,Rochester
Lucy,1,116,Tulsa
Carl,4,286,Boston
Lucas,2,163,Nashville
Livia,1,286,Innsbruck
Eileen,1,31,Fayetteville
Juliet,2,41,Houston
Selena,4,242,Lisbon
Daniel,3,126,Hollywood
Taylor,4,225,Santa Ana
Hazel,3,209,Louisville
Mike,2,165,Cincinnati
Noah,4,96,Fayetteville
Lily,4,59,Ontario
Rose,3,156,Stockton
Erica,3,291,Norfolk
Marvin,2,95,Toledo
Mark,3,216,Amarillo
Rihanna,1,26,Memphis
Matt,2,103,Moreno Valley
Eden,3,201,Zurich
Alexander,1,175,Irving
Carl,2,172,Bridgeport
Tyson,3,69,Milwaukee
Savannah,1,78,Cincinnati
Mina,3,79,Hayward
Sonya,2,65,Chicago
Clint,4,290,Cincinnati
Zara,1,16,Anaheim
Boris,3,131,Fremont
Marissa,1,94,Hayward
Leanne,2,283,Stockton
Johnny,4,230,Huntsville
Elly,2,27,Denver
Tiffany,3,151,Hayward
Gabriel,1,190,Atlanta
Winnie,1,190,Amarillo
Alexia,4,120,Toledo
Marvin,4,255,Prague
Chris,2,36,Tulsa
Peter,3,87,Murfreesboro
Rocco,3,147,Henderson
Jacob,3,132,Anaheim
Mackenzie,1,248,Dallas
Belinda,4,0,Toledo
Cristal,4,227,Huntsville
Fred,4,26,Bakersfield
Marvin,4,36,Phoenix
Margaret,3,82,Cincinnati
Lucas,2,69,Madison
Nate,2,144,Sacramento
Miriam,3,61,Tulsa
Tyler,4,167,Charlotte
Ivette,3,102,Saint Paul
Nick,1,45,Bellevue
Anais,3,84,Valetta
Bryon,3,85,Garland
Fiona,2,130,Murfreesboro
Destiny,3,173,Laredo
Juliet,4,104,Fayetteville
Abdul,1,191,Minneapolis
Dalia,2,96,San Jose
Regina,2,239,Norfolk
Maya,2,80,Fayetteville
Grace,1,245,Kansas City
Jackeline,2,293,Prague
Eryn,1,64,Richmond
Leroy,4,282,Stockton
Noah,1,9,Arlington
Jayden,4,179,Quebec
Denny,3,84,Bridgeport
Jazmin,2,131,Santa Ana
Cedrick,2,172,Quebec
Alex,1,192,Paris
Martin,3,44,New Orleans
Alexander,1,165,San Bernardino
Cecilia,4,293,San Bernardino
Danny,4,169,El Paso
Ramon,2,46,Glendale
Gemma,3,9,San Jose
Barry,1,126,Ontario
Eve,3,222,Denver
Jacob,3,175,Oklahoma City
Tyler,2,214,Fullerton
Liam,3,227,Huntsville
Macy,2,92,Berlin
Sasha,1,47,Washington
Chuck,2,268,Lancaster
Hank,1,127,Berna
Katelyn,4,194,Irving
Alexia,4,21,Salem
Danny,2,148,Denver
Domenic,1,249,Rochester
Wade,3,77,Berna
Margaret,2,31,Reno
Ron,1,95,Lincoln
Janice,4,191,Long Beach
Luke,1,279,Phoenix
Harry,4,224,New Orleans
Stella,2,69,Memphis
Sara,3,60,Chicago
Hanna,3,107,Innsbruck
Chloe,1,133,Milano
Anabelle,3,150,Springfield
Marvin,3,173,Ontario
Winnie,3,170,Philadelphia
Mark,4,17,San Jose
Chanelle,3,47,Madrid
Carmella,3,207,Otawa
Jacqueline,2,75,Colorado Springs
Nathan,4,241,Milano
Savannah,1,35,El Paso
Chuck,1,148,Albuquerque
Mavis,1,14,Omaha
Dasha,2,32,Seattle
Tyson,4,263,Minneapolis
Alan,2,235,Bridgeport
Hazel,1,170,El Paso
Mason,2,82,Bellevue
Rowan,1,142,Lisbon
Kassandra,2,206,Cincinnati
Maggie,4,131,Madrid
Ethan,1,232,Hayward
Aiden,2,252,Scottsdale
Mya,2,49,Los Angeles
Esmeralda,1,282,Garland
Hadley,2,256,Seattle
Gladys,4,19,New Orleans
Mason,3,53,Baltimore
Erica,3,136,Paris
Charlotte,2,267,Jacksonville
Barney,2,286,Long Beach
Rocco,4,44,Jacksonville
Anne,2,120,Escondido
Danny,2,91,Charlotte
Percy,2,110,Ontario
Kieth,3,228,Reno
Norah,3,25,Henderson
Bob,4,220,Fayetteville
Paula,2,121,New York
Jocelyn,2,50,Bucharest
Emerald,1,292,Paris
Alexander,4,262,Berna
Tony,1,130,Memphis
Cara,1,81,Detroit
Liam,3,70,Ontario
Esmeralda,4,139,Fort Lauderdale
Boris,3,230,Glendale
Sofia,3,269,Bucharest
Anabelle,4,86,Columbus
Mike,1,44,Portland
Ronald,4,97,Zurich
Doris,4,269,Berna
Elle,2,221,Colorado Springs
Rick,2,178,Atlanta
Ryan,2,81,Salem
Daniel,2,188,London
Adina,3,191,San Francisco
Joseph,1,124,Detroit
Josh,3,135,Rome
Dorothy,1,152,El Paso
Aiden,2,193,Chicago
Cadence,3,27,Zurich
Hayden,1,157,Atlanta
John,4,114,Stockton
Chelsea,4,226,Charlotte
Josh,4,224,Columbus
Isla,4,224,Escondido
Crystal,1,48,Denver
Angelique,1,20,Moreno Valley
Caydence,1,286,Phoenix
Luke,4,116,Berlin
Benjamin,3,216,Lyon
Rocco,4,148,San Diego
Ally,2,71,Tokyo
Elijah,3,71,Denver
Nicholas,4,299,Boston
Sara,4,20,Innsbruck
Paula,2,252,Anaheim
Kassandra,2,43,Hayward
Miley,3,154,San Francisco
Elijah,4,274,Tokyo
Remy,3,74,Norfolk
Skylar,3,155,Albuquerque
Daniel,4,77,Paris
Evelynn,3,185,Boston
Michaela,2,127,Bucharest
Danny,2,192,San Diego
Eve,4,8,Toledo
Lexi,1,258,Arlington
Juliet,4,277,Kansas City
Macy,2,101,San Antonio
Ruth,2,212,Charlotte
Mark,1,77,Fort Lauderdale
Caleb,1,288,Fremont
Lindsay,4,51,Scottsdale
Camila,4,105,Rochester
Tyler,3,65,Moreno Valley
Denny,4,251,Omaha
Rowan,2,30,Baltimore
Gina,4,218,Anaheim
Skylar,4,89,San Jose
Ciara,1,226,Milano
Sienna,4,155,Sacramento
Sofia,4,151,Madison
Keira,1,119,Lancaster
Martin,4,110,Escondido
Harry,1,219,Otawa
Maxwell,2,247,Indianapolis
Abbey,1,102,Fayetteville
Bob,4,132,Worcester
David,2,77,Washington
Danielle,2,206,Fayetteville
Michael,4,140,Jersey City
Enoch,1,246,Albuquerque
Nick,1,20,Stockton
Jacob,4,98,San Jose
Hayden,2,239,Reno
Maxwell,4,124,Colorado Springs
Julian,3,225,Moreno Valley
Denny,3,28,Bellevue
Dani,4,66,Rome
Doug,2,42,Rochester
Abdul,1,85,Escondido
Wade,1,226,Salt Lake City
Kieth,4,12,San Jose
Hannah,2,95,Nashville
Catherine,4,47,Las Vegas
Bethany,1,79,Lancaster
Jane,3,67,Innsbruck
Naomi,2,139,Charlotte
Nate,4,297,Orlando
Rufus,4,246,Albuquerque
Rae,1,248,Louisville
Marie,4,96,San Antonio
Livia,3,42,Huntsville
Denny,3,241,Minneapolis
Naomi,4,119,Los Angeles
Mason,4,210,Murfreesboro
Liv,2,13,San Jose
Denis,4,242,Minneapolis
Rick,4,198,Quebec
Harry,4,17,Lancaster
Daniel,1,143,Atlanta
Mason,3,28,Bucharest
Alan,2,240,Portland
Susan,3,224,Minneapolis
George,4,139,Garland
Rick,2,117,Arlington
Alexander,3,27,Indianapolis
Cedrick,4,162,Jacksonville
Sonya,3,244,Salt Lake City
Nate,1,249,Toledo
Jackeline,1,214,Lancaster
Bridget,3,54,San Jose
Luke,1,248,Bellevue
Kassandra,1,110,Jacksonville
Ember,1,294,Springfield
Felicity,4,106,Milano
Leanne,2,90,Dallas
Raquel,4,144,Honolulu
Jessica,3,42,Houston
Ronald,4,195,Reno
Javier,4,19,Ontario
Julian,1,86,Glendale
Laila,2,207,Dallas
Ramon,4,56,Albuquerque
Bob,3,141,San Bernardino
Lorraine,1,67,Charlotte
Anthony,2,191,Boston
Margaret,2,67,Milwaukee
Ilona,3,193,Kansas City
Chuck,4,149,Rochester
Roger,3,128,Ontario
Sadie,2,64,Washington
Danny,4,110,Ontario
Kirsten,3,144,Tokyo
Benjamin,3,45,Lyon
Elly,1,80,Stockton
Allison,3,8,San Jose
Rosemary,4,168,Miami
Joyce,1,269,Glendale
Enoch,2,170,Orlando
Bryon,2,135,Tallahassee
Jasmine,3,125,Toledo
Lorraine,1,28,Tulsa
Alexia,4,291,Valetta
Ronald,1,7,Berlin
Chris,4,94,Oklahoma City
Camellia,2,240,Tallahassee
Payton,1,226,Oklahoma City
Julian,2,142,Rome
Fiona,1,104,Salt Lake City
Carter,2,48,Bucharest
Leroy,2,163,Bridgeport
